,angle,distance,energy
1,0.0,2,[0.37223173]
2,0.0,3,[0.36732779]
3,0.0,4,[0.36223763]
4,0.0,5,[0.3579336]
5,0.7853981633974483,1,[0.37855591]
6,0.7853981633974483,2,[0.37855591]
7,0.7853981633974483,3,[0.36331538]
8,0.7853981633974483,4,[0.35408038]
9,0.7853981633974483,5,[0.34594904]
10,1.5707963267948966,1,[0.38123741]
11,1.5707963267948966,2,[0.37173015]
12,1.5707963267948966,3,[0.36656627]
13,1.5707963267948966,4,[0.36239703]
14,1.5707963267948966,5,[0.35812871]
15,4.71238898038469,1,[0.38123741]
16,4.71238898038469,2,[0.37173015]
17,4.71238898038469,3,[0.36656627]
18,4.71238898038469,4,[0.36239703]
19,4.71238898038469,5,[0.35812871]
0,0.0,1,[0.17166536]
1,0.0,2,[0.16858092]
2,0.0,3,[0.16678513]
3,0.0,4,[0.16472633]
4,0.0,5,[0.162476]
5,0.7853981633974483,1,[0.17164036]
6,0.7853981633974483,2,[0.17164036]
7,0.7853981633974483,3,[0.16246334]
8,0.7853981633974483,4,[0.15851966]
9,0.7853981633974483,5,[0.15579588]
10,1.5707963267948966,1,[0.18282097]
11,1.5707963267948966,2,[0.16528776]
12,1.5707963267948966,3,[0.16205051]
13,1.5707963267948966,4,[0.15963444]
